Logistics ID,Order ID,Carrier,Tracking Number,Status,Shipping Cost,Estimated Delivery,Cost_Category,Distance_Miles
LOG86570,SO200651523,UPS,TRACK105473,Delivered,4955.52,2020-04-18,High Cost ($3K-$6K),1070
LOG14329,SO201470897,FedEx,TRACK435073,Delivered,3263.78,2024-02-06,High Cost ($3K-$6K),1070
LOG70796,SO200439085,USPS,TRACK929757,Delayed,2990.45,2021-03-21,Medium Cost ($1K-$3K),735
LOG63529,SO201722548,TNT,TRACK794171,In Transit,280.01,2022-07-16,Low Cost (<$1K),152
LOG62178,SO202374496,DHL,TRACK151116,Delayed,4923.19,2025-07-01,High Cost ($3K-$6K),1070
LOG12318,SO201338520,FedEx,TRACK149516,In Transit,839.19,2025-05-12,Low Cost (<$1K),152
LOG96087,SO202144987,TNT,TRACK574467,Delayed,2963.18,2021-07-22,Medium Cost ($1K-$3K),735
LOG52527,SO200410663,FedEx,TRACK284355,Delivered,3957.21,2020-02-19,High Cost ($3K-$6K),1070
LOG51242,SO200726576,TNT,TRACK201390,Delivered,1078.54,2022-10-22,Medium Cost ($1K-$3K),735
LOG68353,SO200449997,TNT,TRACK947615,Delayed,56.6,2025-02-25,Low Cost (<$1K),152
LOG16020,SO201229694,FedEx,TRACK524274,Delivered,3910.02,2023-02-23,High Cost ($3K-$6K),1070
LOG18603,SO202579488,FedEx,TRACK458831,In Transit,2818.95,2023-10-10,Medium Cost ($1K-$3K),735
LOG15243,SO201040265,DHL,TRACK181189,In Transit,1345.41,2022-04-09,Medium Cost ($1K-$3K),735
LOG14886,SO200491535,DHL,TRACK430714,Delivered,461.88,2025-12-16,Low Cost (<$1K),152
LOG18886,SO200955272,USPS,TRACK851865,Delayed,2943.11,2022-02-04,Medium Cost ($1K-$3K),735
LOG64465,SO200677969,FedEx,TRACK249032,In Transit,229.06,2025-08-06,Low Cost (<$1K),152
LOG38638,SO200292553,TNT,TRACK363332,In Transit,959.67,2025-12-14,Low Cost (<$1K),152
LOG80442,SO200392458,DHL,TRACK125711,Delivered,2990.48,2022-04-28,Medium Cost ($1K-$3K),735
LOG77931,SO200616068,USPS,TRACK851105,Delivered,271.04,2020-12-22,Low Cost (<$1K),152
LOG15499,SO201054915,SF Express,TRACK178616,Delivered,3658.34,2021-12-14,High Cost ($3K-$6K),1070
LOG33126,SO201352787,UPS,TRACK473621,Delayed,4177.22,2023-03-14,High Cost ($3K-$6K),1070
LOG60154,SO200151937,FedEx,TRACK396805,Delayed,262.43,2022-11-15,Low Cost (<$1K),152
LOG59106,SO200193028,DHL,TRACK617762,Delivered,2695.51,2024-01-25,Medium Cost ($1K-$3K),735
LOG61922,SO200721797,FedEx,TRACK309825,In Transit,1382.93,2023-04-15,Medium Cost ($1K-$3K),735
LOG79421,SO201094913,FedEx,TRACK356405,Delivered,2543.85,2023-06-02,Medium Cost ($1K-$3K),735
LOG66565,SO200285926,TNT,TRACK438991,Delayed,2325.52,2024-03-01,Medium Cost ($1K-$3K),735
LOG99844,SO201777416,TNT,TRACK964483,Delayed,783.33,2021-03-20,Low Cost (<$1K),152
LOG98371,SO202533391,UPS,TRACK442220,Delivered,434.84,2021-09-06,Low Cost (<$1K),152
LOG79755,SO202431989,SF Express,TRACK473124,Delivered,964.8,2022-03-20,Low Cost (<$1K),152
LOG88228,SO201323964,FedEx,TRACK183875,Delivered,4641.81,2024-09-13,High Cost ($3K-$6K),1070
LOG90994,SO201547520,TNT,TRACK326503,Delayed,1353.82,2022-11-21,Medium Cost ($1K-$3K),735
LOG64612,SO201298173,USPS,TRACK153925,Delivered,1484.08,2023-07-11,Medium Cost ($1K-$3K),735
LOG94554,SO201183295,FedEx,TRACK228257,In Transit,4044.93,2024-10-25,High Cost ($3K-$6K),1070
LOG76248,SO200775322,FedEx,TRACK115729,Delivered,1743.32,2020-04-28,Medium Cost ($1K-$3K),735
LOG89448,SO202132247,USPS,TRACK118593,Delivered,1071.84,2022-01-09,Medium Cost ($1K-$3K),735
LOG98689,SO200544403,USPS,TRACK369721,In Transit,3629.03,2025-09-07,High Cost ($3K-$6K),1070
LOG97114,SO202469539,USPS,TRACK706504,Delayed,1857.03,2020-07-02,Medium Cost ($1K-$3K),735
LOG10092,SO201562956,TNT,TRACK678383,Delivered,3891.86,2025-03-26,High Cost ($3K-$6K),1070
LOG42002,SO202370307,FedEx,TRACK539900,Delayed,1580.76,2023-08-24,Medium Cost ($1K-$3K),735
LOG86001,SO200494492,SF Express,TRACK943147,Delayed,2930.16,2022-01-12,Medium Cost ($1K-$3K),735
LOG12672,SO201036786,FedEx,TRACK907499,Delivered,1688.24,2020-09-25,Medium Cost ($1K-$3K),735
LOG78580,SO200412435,USPS,TRACK851159,Delivered,1775.47,2025-08-09,Medium Cost ($1K-$3K),735
LOG39468,SO202131668,FedEx,TRACK862136,Delayed,2388.38,2021-03-06,Medium Cost ($1K-$3K),735
LOG79332,SO202334499,TNT,TRACK605395,Delayed,2374.88,2023-02-25,Medium Cost ($1K-$3K),735
LOG66843,SO200270711,USPS,TRACK651622,In Transit,3685.45,2021-01-13,High Cost ($3K-$6K),1070
LOG39579,SO200930779,FedEx,TRACK549845,Delayed,4956.54,2022-11-24,High Cost ($3K-$6K),1070
LOG45869,SO202570503,USPS,TRACK114141,Delayed,1429.01,2024-12-21,Medium Cost ($1K-$3K),735
LOG55464,SO200886287,UPS,TRACK148035,Delivered,3996.05,2024-05-11,High Cost ($3K-$6K),1070
LOG51470,SO201327008,DHL,TRACK723406,In Transit,783.57,2021-02-18,Low Cost (<$1K),152
LOG71655,SO200588547,TNT,TRACK511250,In Transit,1070.71,2024-07-16,Medium Cost ($1K-$3K),735
LOG24006,SO201928348,FedEx,TRACK757583,Delayed,3708.37,2022-10-10,High Cost ($3K-$6K),1070
LOG83293,SO202187501,DHL,TRACK651318,In Transit,1204.85,2022-08-03,Medium Cost ($1K-$3K),735
LOG16134,SO200396337,SF Express,TRACK801059,Delayed,708.35,2023-01-07,Low Cost (<$1K),152
LOG50645,SO201956449,UPS,TRACK152393,Delayed,927.79,2020-07-14,Low Cost (<$1K),152
LOG73030,SO200775085,FedEx,TRACK199349,In Transit,4540.58,2021-12-16,High Cost ($3K-$6K),1070
LOG42061,SO200628457,FedEx,TRACK427446,Delayed,4956.51,2022-06-02,High Cost ($3K-$6K),1070
LOG40708,SO200828419,SF Express,TRACK568674,Delayed,2394.87,2024-10-17,Medium Cost ($1K-$3K),735
LOG14998,SO200791032,TNT,TRACK309556,In Transit,1033.85,2023-01-20,Medium Cost ($1K-$3K),735
LOG52428,SO200667766,UPS,TRACK824210,Delayed,4123.55,2025-01-04,High Cost ($3K-$6K),1070
LOG54974,SO201293418,USPS,TRACK136719,Delayed,4006.32,2022-05-26,High Cost ($3K-$6K),1070
LOG78491,SO201083117,SF Express,TRACK545311,In Transit,106.6,2024-04-21,Low Cost (<$1K),152
LOG69258,SO200074144,UPS,TRACK622407,Delivered,792.99,2024-07-17,Low Cost (<$1K),152
LOG69595,SO200298984,DHL,TRACK148398,Delayed,780.13,2023-04-28,Low Cost (<$1K),152
LOG99148,SO201612282,UPS,TRACK424025,Delivered,1386.51,2022-04-24,Medium Cost ($1K-$3K),735
LOG37294,SO201539213,SF Express,TRACK649698,In Transit,2621.35,2025-08-08,Medium Cost ($1K-$3K),735
LOG60489,SO201017539,USPS,TRACK397311,Delayed,1151.56,2024-10-22,Medium Cost ($1K-$3K),735
LOG93215,SO202573185,USPS,TRACK874658,Delivered,2488.6,2021-12-23,Medium Cost ($1K-$3K),735
LOG68994,SO201374198,UPS,TRACK501404,Delayed,2306.78,2021-11-09,Medium Cost ($1K-$3K),735
LOG20678,SO200668886,USPS,TRACK785983,Delayed,3027.18,2021-06-28,High Cost ($3K-$6K),1070
LOG67052,SO201842693,DHL,TRACK752355,Delayed,4591.91,2024-02-27,High Cost ($3K-$6K),1070
LOG56671,SO201424427,SF Express,TRACK361357,In Transit,385.1,2020-08-13,Low Cost (<$1K),152
LOG47532,SO202295484,FedEx,TRACK712644,Delayed,3078.43,2021-08-16,High Cost ($3K-$6K),1070
LOG52164,SO201067466,USPS,TRACK344730,Delayed,623.85,2025-10-02,Low Cost (<$1K),152
LOG81007,SO201675160,SF Express,TRACK678389,Delayed,3902.19,2022-10-24,High Cost ($3K-$6K),1070
LOG32409,SO201079306,DHL,TRACK619741,Delivered,874.89,2023-06-19,Low Cost (<$1K),152
LOG97403,SO202486766,TNT,TRACK641049,Delivered,1300.33,2023-01-23,Medium Cost ($1K-$3K),735
LOG98220,SO200770575,USPS,TRACK240513,Delayed,3649.68,2020-11-07,High Cost ($3K-$6K),1070
LOG47906,SO201310279,SF Express,TRACK807821,Delayed,3643.24,2025-12-20,High Cost ($3K-$6K),1070
LOG92728,SO201969681,UPS,TRACK218608,Delivered,2215.4,2023-12-24,Medium Cost ($1K-$3K),735
LOG74628,SO201113620,SF Express,TRACK938946,Delayed,635.19,2023-07-16,Low Cost (<$1K),152
LOG27895,SO202460127,FedEx,TRACK130521,Delivered,4591.43,2022-02-06,High Cost ($3K-$6K),1070
LOG68914,SO200673707,UPS,TRACK221600,Delayed,746.55,2025-06-10,Low Cost (<$1K),152
LOG20251,SO200189157,TNT,TRACK369913,In Transit,195.76,2020-09-18,Low Cost (<$1K),152
LOG31644,SO201816896,FedEx,TRACK387858,Delayed,732.0,2023-05-08,Low Cost (<$1K),152
LOG75970,SO200669048,FedEx,TRACK176552,Delivered,2732.14,2024-04-02,Medium Cost ($1K-$3K),735
LOG14317,SO202111857,USPS,TRACK227141,Delayed,1179.05,2021-12-01,Medium Cost ($1K-$3K),735
LOG61659,SO200363082,SF Express,TRACK905114,In Transit,129.5,2021-12-14,Low Cost (<$1K),152
LOG42517,SO201321968,DHL,TRACK325932,Delivered,3713.18,2025-09-26,High Cost ($3K-$6K),1070
LOG96773,SO201320221,SF Express,TRACK554239,Delayed,1707.65,2021-01-27,Medium Cost ($1K-$3K),735
LOG45379,SO200775808,SF Express,TRACK194541,Delivered,413.55,2020-12-03,Low Cost (<$1K),152
LOG22929,SO202329074,SF Express,TRACK978390,Delivered,4345.16,2022-06-26,High Cost ($3K-$6K),1070
LOG49805,SO200885702,FedEx,TRACK187095,Delivered,3422.41,2022-04-20,High Cost ($3K-$6K),1070
LOG82672,SO200221406,FedEx,TRACK768288,Delivered,1291.31,2024-04-15,Medium Cost ($1K-$3K),735
LOG63947,SO200453421,SF Express,TRACK220915,Delivered,345.27,2024-01-01,Low Cost (<$1K),152
LOG99148,SO200036068,TNT,TRACK427518,In Transit,2599.14,2021-09-27,Medium Cost ($1K-$3K),735
LOG20572,SO201922415,FedEx,TRACK293130,In Transit,4809.36,2020-07-04,High Cost ($3K-$6K),1070
LOG49973,SO200264134,USPS,TRACK416531,In Transit,4316.47,2023-08-02,High Cost ($3K-$6K),1070
LOG95652,SO201823974,SF Express,TRACK245327,Delivered,2153.4,2024-11-02,Medium Cost ($1K-$3K),735
LOG40547,SO201151327,SF Express,TRACK372220,In Transit,2344.14,2024-01-23,Medium Cost ($1K-$3K),735
LOG94317,SO201872097,SF Express,TRACK254623,Delayed,711.89,2023-03-18,Low Cost (<$1K),152
LOG49785,SO200698118,FedEx,TRACK705891,Delayed,2031.06,2024-01-20,Medium Cost ($1K-$3K),735
LOG82538,SO202080557,SF Express,TRACK507282,Delivered,4008.48,2025-08-07,High Cost ($3K-$6K),1070
LOG23736,SO202076660,DHL,TRACK724439,Delayed,347.75,2021-07-22,Low Cost (<$1K),152
LOG27298,SO201978639,TNT,TRACK723848,In Transit,302.83,2023-05-22,Low Cost (<$1K),152
LOG95835,SO201964223,FedEx,TRACK214499,Delivered,139.87,2022-06-09,Low Cost (<$1K),152
LOG70563,SO202319875,TNT,TRACK917641,Delivered,4366.48,2023-04-17,High Cost ($3K-$6K),1070
LOG17594,SO201010879,TNT,TRACK395938,Delivered,1226.63,2023-03-12,Medium Cost ($1K-$3K),735
LOG70674,SO200610218,DHL,TRACK251022,In Transit,1440.41,2021-04-08,Medium Cost ($1K-$3K),735
LOG94807,SO200741135,USPS,TRACK790916,Delivered,620.46,2024-08-22,Low Cost (<$1K),152
LOG45994,SO200529267,UPS,TRACK455184,Delayed,735.3,2022-12-20,Low Cost (<$1K),152
LOG31531,SO202156147,USPS,TRACK288591,In Transit,1961.04,2021-01-27,Medium Cost ($1K-$3K),735
LOG51616,SO201593642,SF Express,TRACK392029,In Transit,3259.37,2022-08-10,High Cost ($3K-$6K),1070
LOG84192,SO200135367,DHL,TRACK874472,Delivered,3713.02,2020-10-15,High Cost ($3K-$6K),1070
LOG10776,SO200968763,SF Express,TRACK691066,Delivered,4562.5,2021-03-02,High Cost ($3K-$6K),1070
LOG87568,SO201928137,DHL,TRACK907812,Delivered,4654.33,2024-01-20,High Cost ($3K-$6K),1070
LOG75325,SO201651194,UPS,TRACK427945,Delivered,3904.74,2021-01-20,High Cost ($3K-$6K),1070
LOG49532,SO202113941,USPS,TRACK868049,Delayed,1678.49,2024-02-09,Medium Cost ($1K-$3K),735
LOG32709,SO201622601,SF Express,TRACK829274,Delivered,1335.47,2024-08-28,Medium Cost ($1K-$3K),735
LOG99727,SO202277994,FedEx,TRACK934917,Delayed,4525.4,2024-02-22,High Cost ($3K-$6K),1070
LOG15914,SO201263411,SF Express,TRACK264304,In Transit,3091.89,2022-03-12,High Cost ($3K-$6K),1070
LOG81672,SO201511732,UPS,TRACK663973,Delayed,3344.64,2021-04-28,High Cost ($3K-$6K),1070
LOG16381,SO201221845,SF Express,TRACK653282,Delivered,2237.68,2023-03-20,Medium Cost ($1K-$3K),735
LOG39500,SO200671115,FedEx,TRACK302982,In Transit,55.76,2021-08-10,Low Cost (<$1K),152
LOG54234,SO200920825,USPS,TRACK606858,Delayed,4017.27,2021-01-17,High Cost ($3K-$6K),1070
LOG55175,SO202375045,FedEx,TRACK858780,Delivered,1619.36,2023-06-21,Medium Cost ($1K-$3K),735
LOG82776,SO200521780,UPS,TRACK954774,Delivered,2873.22,2021-07-05,Medium Cost ($1K-$3K),735
LOG15483,SO202174076,USPS,TRACK319797,Delivered,2299.55,2023-07-21,Medium Cost ($1K-$3K),735
LOG96607,SO201238306,SF Express,TRACK584792,Delivered,2112.77,2024-05-03,Medium Cost ($1K-$3K),735
LOG99011,SO202376567,SF Express,TRACK888197,Delivered,1972.18,2025-03-03,Medium Cost ($1K-$3K),735
LOG71946,SO202185543,DHL,TRACK603982,In Transit,1139.65,2021-10-21,Medium Cost ($1K-$3K),735
LOG14350,SO202474657,USPS,TRACK182519,In Transit,4045.35,2023-03-20,High Cost ($3K-$6K),1070
LOG30853,SO201738420,USPS,TRACK697686,In Transit,540.52,2021-09-10,Low Cost (<$1K),152
LOG67022,SO200418415,DHL,TRACK893626,In Transit,4885.28,2020-04-04,High Cost ($3K-$6K),1070
LOG52184,SO202537244,UPS,TRACK872386,Delayed,4522.47,2024-11-23,High Cost ($3K-$6K),1070
LOG32548,SO201372941,UPS,TRACK576602,Delayed,2664.81,2020-04-20,Medium Cost ($1K-$3K),735
LOG70033,SO202130221,DHL,TRACK460125,Delayed,4655.74,2020-07-18,High Cost ($3K-$6K),1070
LOG38341,SO200242742,TNT,TRACK315017,In Transit,1892.49,2020-01-14,Medium Cost ($1K-$3K),735
LOG69615,SO201923984,DHL,TRACK931780,In Transit,812.22,2021-03-09,Low Cost (<$1K),152
LOG72954,SO202598178,DHL,TRACK891470,Delayed,577.28,2022-02-24,Low Cost (<$1K),152
LOG18037,SO200521053,TNT,TRACK905603,Delivered,3098.23,2021-04-17,High Cost ($3K-$6K),1070
LOG43861,SO201743711,FedEx,TRACK235035,Delivered,3646.87,2022-01-07,High Cost ($3K-$6K),1070
LOG48915,SO201997996,USPS,TRACK277406,In Transit,3507.67,2023-01-08,High Cost ($3K-$6K),1070
LOG45314,SO200253700,UPS,TRACK130130,Delayed,379.76,2022-05-02,Low Cost (<$1K),152
LOG98748,SO201036113,UPS,TRACK761306,In Transit,4808.99,2021-02-24,High Cost ($3K-$6K),1070
LOG66368,SO202462726,USPS,TRACK504197,In Transit,3398.01,2020-10-09,High Cost ($3K-$6K),1070
LOG66279,SO201722680,USPS,TRACK172879,Delivered,3655.28,2023-11-11,High Cost ($3K-$6K),1070
LOG89557,SO200580278,DHL,TRACK416754,Delivered,3756.83,2023-04-25,High Cost ($3K-$6K),1070
LOG34496,SO202237418,TNT,TRACK765521,In Transit,708.0,2025-05-04,Low Cost (<$1K),152
LOG93898,SO201370676,FedEx,TRACK207162,Delivered,4953.85,2021-01-18,High Cost ($3K-$6K),1070
LOG40689,SO201775661,TNT,TRACK666463,In Transit,2360.39,2021-05-01,Medium Cost ($1K-$3K),735
LOG13474,SO201322291,FedEx,TRACK114096,Delayed,3601.98,2024-03-14,High Cost ($3K-$6K),1070
LOG46641,SO202292373,USPS,TRACK429994,In Transit,2898.75,2024-11-28,Medium Cost ($1K-$3K),735
LOG97950,SO200146016,TNT,TRACK389124,In Transit,1442.42,2025-10-05,Medium Cost ($1K-$3K),735
LOG26388,SO200875374,UPS,TRACK770442,In Transit,493.59,2023-03-15,Low Cost (<$1K),152
LOG92651,SO201670055,FedEx,TRACK427799,In Transit,2501.81,2024-11-26,Medium Cost ($1K-$3K),735
LOG95259,SO202287638,UPS,TRACK225515,In Transit,2878.74,2022-06-03,Medium Cost ($1K-$3K),735
LOG37464,SO202345555,UPS,TRACK152465,In Transit,2315.82,2024-09-23,Medium Cost ($1K-$3K),735
LOG81296,SO200446212,SF Express,TRACK373781,In Transit,1486.17,2022-12-07,Medium Cost ($1K-$3K),735
LOG59165,SO200859891,DHL,TRACK887901,In Transit,4427.97,2025-05-03,High Cost ($3K-$6K),1070
LOG92178,SO201345606,DHL,TRACK730596,Delivered,4370.43,2021-02-16,High Cost ($3K-$6K),1070
LOG13109,SO201972483,UPS,TRACK563204,Delivered,4342.3,2024-01-15,High Cost ($3K-$6K),1070
LOG37814,SO200514941,TNT,TRACK674977,In Transit,1596.55,2024-06-26,Medium Cost ($1K-$3K),735
LOG69507,SO200049272,FedEx,TRACK108074,Delivered,2453.23,2025-12-12,Medium Cost ($1K-$3K),735
LOG33165,SO201234796,DHL,TRACK613494,Delayed,4521.44,2025-04-25,High Cost ($3K-$6K),1070
LOG97876,SO202250839,TNT,TRACK845066,Delivered,3799.1,2021-09-04,High Cost ($3K-$6K),1070
LOG13045,SO201160001,DHL,TRACK202479,Delayed,4763.8,2025-01-05,High Cost ($3K-$6K),1070
LOG38770,SO201161157,UPS,TRACK407466,In Transit,3983.23,2025-06-25,High Cost ($3K-$6K),1070
LOG88506,SO202580025,SF Express,TRACK267659,In Transit,1364.48,2025-06-01,Medium Cost ($1K-$3K),735
LOG20133,SO201969210,DHL,TRACK787293,Delivered,1863.19,2025-05-03,Medium Cost ($1K-$3K),735
LOG66187,SO201590493,TNT,TRACK431412,Delayed,3212.68,2021-02-24,High Cost ($3K-$6K),1070
LOG52171,SO200085150,TNT,TRACK587406,In Transit,63.44,2025-06-21,Low Cost (<$1K),152
LOG53636,SO201185795,SF Express,TRACK643070,Delayed,1751.18,2021-04-11,Medium Cost ($1K-$3K),735
LOG66638,SO201397318,UPS,TRACK833777,Delivered,95.17,2022-07-15,Low Cost (<$1K),152
LOG11629,SO201388314,TNT,TRACK486603,In Transit,4414.62,2024-10-08,High Cost ($3K-$6K),1070
LOG11488,SO201880947,TNT,TRACK158393,Delayed,3346.11,2020-08-13,High Cost ($3K-$6K),1070
LOG16467,SO201674423,USPS,TRACK260516,Delayed,1732.56,2023-11-22,Medium Cost ($1K-$3K),735
